CREATED_AT,BYN,PLN,EUR
2019-11-11,2.046217,3.87415,0.906197
2019-11-12,2.050768,3.889045,0.908101
2019-11-13,2.054292,3.89835,0.908198
2019-11-14,2.051585,3.88695,0.90744
2019-11-15,2.045275,3.86873,0.904773
2019-11-16,2.041389,3.867704,0.904871
2019-11-17,2.041389,3.867061,0.904642
2019-11-18,2.044772,3.876299,0.903185
2019-11-19,2.044209,3.868195,0.902649
2019-11-20,2.049388,3.87685,0.90265
2019-11-21,2.047187,3.88404,0.903705
2019-11-22,2.050425,3.899204,0.907441
2019-11-23,2.050425,3.899204,0.907334
2019-11-24,2.050425,3.898551,0.907265
2019-11-25,2.064226,3.90395,0.908098
2019-11-26,2.076522,3.90625,0.907265
2019-11-27,2.100562,3.91555,0.90872
2019-11-28,2.109631,3.92335,0.90816
2019-11-29,2.110637,3.91695,0.907573
2019-11-30,2.106978,3.91715,0.907593
2019-12-01,2.106978,3.912615,0.907555
2019-12-02,2.111045,3.87079,0.902795
2019-12-03,2.111774,3.86325,0.9023
2019-12-04,2.118353,3.86008,0.90231
2019-12-05,2.118225,3.850105,0.90049
2019-12-06,2.116171,3.86645,0.904159
2019-12-07,2.116171,3.86645,0.904261
2019-12-08,2.116171,3.86843,0.904285
2019-12-09,2.11475,3.876275,0.9038
2019-12-10,2.11243,3.867955,0.90152
2019-12-11,2.114793,3.84725,0.898201
2019-12-12,2.108364,3.83265,0.893992
2019-12-13,2.100192,3.838704,0.89924
2019-12-14,2.100192,3.838704,0.899281
2019-12-15,2.100192,3.84049,0.89895
2019-12-16,2.10319,3.82248,0.89794
2019-12-17,2.104772,3.82145,0.896846
2019-12-18,2.106342,3.83665,0.89965
2019-12-19,2.102147,3.83245,0.899023
2019-12-20,2.097724,3.84315,0.902685
2019-12-21,2.097724,3.84315,0.902527
2019-12-22,2.097724,3.841955,0.90257
2019-12-23,2.098699,3.85305,0.901596
2019-12-24,2.093148,3.85815,0.901898
2019-12-25,2.091024,3.83905,0.90131
2019-12-26,2.090204,3.83745,0.90084
2019-12-27,2.103507,3.81265,0.895037
2019-12-28,2.103507,3.81265,0.894879
2019-12-29,2.103507,3.81062,0.89431
2019-12-30,2.105451,3.79765,0.892698
2019-12-31,2.109097,3.80575,0.891273
2020-01-01,2.120406,3.79325,0.891401
2020-01-02,2.106684,3.79425,0.895185
2020-01-03,2.109458,3.80225,0.896057
2020-01-04,2.109458,3.80225,0.896098
2020-01-05,2.109458,3.80214,0.89593
2020-01-06,2.11228,3.77975,0.893136
2020-01-07,2.110329,3.808205,0.896525
2020-01-08,2.116972,3.80995,0.899865
2020-01-09,2.121069,3.82205,0.900197
2020-01-10,2.118489,3.80915,0.899304
2020-01-11,2.113669,3.80885,0.899281
2020-01-12,2.113669,3.811539,0.89958
2020-01-13,2.116721,3.80145,0.89804
2020-01-14,2.12117,3.79505,0.898604
2020-01-15,2.121735,3.79355,0.89666
2020-01-16,2.1257,3.80035,0.897902
2020-01-17,2.12173,3.823504,0.901665
2020-01-18,2.12173,3.823504,0.901648
2020-01-19,2.12173,3.82276,0.90137
2020-01-20,2.118111,3.82545,0.901185
2020-01-21,2.117385,3.81735,0.90211
2020-01-22,2.115747,3.81975,0.901225
2020-01-23,2.111336,3.84125,0.90458
2020-01-24,2.112557,3.86115,0.90703
2020-01-25,2.112557,3.86115,0.906997
2020-01-26,2.112557,3.86043,0.907035
2020-01-27,2.122151,3.88198,0.907495
